Agent_Name,Agent_ID,Password,Agent_phonenumber,Agent_emailaddress,Date,Count_customer,Rewards_points,Ratings
Sam,123,abc,XXXXXXXXXX,abc@gc.com,26/06/2024,1,10,4
Sam,123,abc,XXXXXXXXXX,abc@gc.com,26/06/2024,1,20,5
Sam,123,abc,XXXXXXXXXX,abc@gc.com,26/06/2024,1,5,3
Sam,123,abc,XXXXXXXXXX,abc@gc.com,26/06/2024,1,20,5
Sam,123,abc,XXXXXXXXXX,abc@gc.com,26/06/2024,1,10,5
Sam,123,abc,XXXXXXXXXX,abc@gc.com,26/06/2024,1,0,3
Sam,123,abc,XXXXXXXXXX,abc@gc.com,26/06/2024,1,5,4
Sam,123,abc,XXXXXXXXXX,abc@gc.com,26/06/2024,1,10,5
Sam,123,abc,XXXXXXXXXX,abc@gc.com,26/06/2024,1,20,5
Sonia,456,abc,XXXXXXXXXX,xyz@gc.com,26/06/2024,1,10,4
Sonia,456,abc,XXXXXXXXXX,xyz@gc.com,26/06/2024,1,20,5
Sonia,456,abc,XXXXXXXXXX,xyz@gc.com,26/06/2024,1,5,3
Sonia,456,abc,XXXXXXXXXX,xyz@gc.com,26/06/2024,1,20,5
Sonia,456,abc,XXXXXXXXXX,xyz@gc.com,26/06/2024,1,10,5
Sonia,456,abc,XXXXXXXXXX,xyz@gc.com,26/06/2024,1,10,4
Sonia,456,abc,XXXXXXXXXX,xyz@gc.com,26/06/2024,1,20,5
Sonia,456,abc,XXXXXXXXXX,xyz@gc.com,26/06/2024,1,5,3
Sonia,456,abc,XXXXXXXXXX,xyz@gc.com,26/06/2024,1,20,5
Sonia,456,abc,XXXXXXXXXX,xyz@gc.com,26/06/2024,1,10,5
David,789,abc,XXXXXXXXXX,def@gc.com,26/06/2024,1,0,3
David,789,abc,XXXXXXXXXX,def@gc.com,26/06/2024,1,5,4
David,789,abc,XXXXXXXXXX,def@gc.com,26/06/2024,1,10,5
David,789,abc,XXXXXXXXXX,def@gc.com,26/06/2024,1,20,5
David,789,abc,XXXXXXXXXX,def@gc.com,26/06/2024,1,10,4
David,789,abc,XXXXXXXXXX,def@gc.com,26/06/2024,1,20,5
David,789,abc,XXXXXXXXXX,def@gc.com,26/06/2024,1,5,3
David,789,abc,XXXXXXXXXX,def@gc.com,26/06/2024,1,20,5
David,789,abc,XXXXXXXXXX,def@gc.com,26/06/2024,1,10,5
David,789,abc,XXXXXXXXXX,def@gc.com,26/06/2024,1,10,4
